epoch,accuracy,loss,val_accuracy,val_loss
0,0.9005500078201294,0.32848063111305237,0.9807999730110168,0.06370488554239273
1,0.9711499810218811,0.09829070419073105,0.984499990940094,0.04771358147263527
2,0.9789999723434448,0.07036346942186356,0.988099992275238,0.03484863415360451
3,0.9819333553314209,0.059206537902355194,0.9889000058174133,0.030984653159976006
4,0.9846333265304565,0.049927420914173126,0.991599977016449,0.025087770074605942
5,0.9875666499137878,0.04246879741549492,0.9902999997138977,0.02757294289767742
6,0.9884666800498962,0.03875045105814934,0.991599977016449,0.02381981536746025
7,0.9894000291824341,0.03448672592639923,0.9915000200271606,0.02507210336625576
8,0.9904000163078308,0.03129313513636589,0.9919999837875366,0.023508673533797264
9,0.9916666746139526,0.02719540148973465,0.9916999936103821,0.02304891124367714
10,0.9916499853134155,0.026308996602892876,0.9916999936103821,0.0226284209638834
11,0.9920666813850403,0.0244095828384161,0.993399977684021,0.022438298910856247
12,0.9928833246231079,0.02288840152323246,0.9922000169754028,0.02225499227643013
13,0.9936333298683167,0.020527943968772888,0.9919000267982483,0.023194165900349617
14,0.9942166805267334,0.0187404602766037,0.9923999905586243,0.02491777576506138
15,0.9944999814033508,0.01813463866710663,0.9923999905586243,0.02505030483007431
16,0.9944833517074585,0.015854153782129288,0.9934999942779541,0.023336060345172882
17,0.9953166842460632,0.01536191813647747,0.9930999875068665,0.022632291540503502
18,0.9948833584785461,0.015637144446372986,0.9930999875068665,0.022716566920280457
19,0.9952666759490967,0.014007366262376308,0.9940000176429749,0.02083033323287964
20,0.9963499903678894,0.011265621520578861,0.9936000108718872,0.025647806003689766
21,0.9960333108901978,0.01119839958846569,0.9929999709129333,0.024397337809205055
22,0.9961166381835938,0.011675736866891384,0.992900013923645,0.02486838772892952
23,0.9959499835968018,0.01185758039355278,0.9926000237464905,0.026480188593268394
24,0.9964500069618225,0.010654734447598457,0.9927999973297119,0.025138912722468376
25,0.9964333176612854,0.009531591087579727,0.9933000206947327,0.025527065619826317
26,0.996649980545044,0.010009816847741604,0.9937000274658203,0.023094452917575836
27,0.996566653251648,0.009727622382342815,0.9927999973297119,0.024365978315472603
28,0.996483325958252,0.01001453585922718,0.9940000176429749,0.022733565419912338
29,0.996916651725769,0.008557775989174843,0.9941999912261963,0.023427296429872513
30,0.9972500205039978,0.007622355129569769,0.9923999905586243,0.02956281788647175
31,0.9972666501998901,0.007431667298078537,0.9923999905586243,0.02838582545518875
32,0.9971500039100647,0.008138611912727356,0.9932000041007996,0.028088126331567764
33,0.9973666667938232,0.007997593842446804,0.9930999875068665,0.02877262607216835
34,0.9976500272750854,0.0069585577584803104,0.9926000237464905,0.0304606631398201
35,0.9975666403770447,0.007277662865817547,0.9934999942779541,0.024666331708431244
36,0.9977666735649109,0.006384858395904303,0.9921000003814697,0.031140094622969627
37,0.9976666569709778,0.006219707895070314,0.9933000206947327,0.029731234535574913
38,0.9975166916847229,0.007384448777884245,0.9914000034332275,0.03590051457285881
39,0.9974499940872192,0.007373676635324955,0.9936000108718872,0.029894018545746803
40,0.9978500008583069,0.006562826223671436,0.9939000010490417,0.02762020006775856
41,0.9978833198547363,0.006476156413555145,0.9939000010490417,0.031099094077944756
42,0.9983000159263611,0.0049478341825306416,0.9937000274658203,0.03182223439216614
43,0.9980000257492065,0.005848427768796682,0.9936000108718872,0.027825191617012024
44,0.9979166388511658,0.006090900860726833,0.993399977684021,0.03268793597817421
45,0.9980166554450989,0.006237783934921026,0.9934999942779541,0.028497830033302307
46,0.9986000061035156,0.004320044536143541,0.9927999973297119,0.0312933549284935
47,0.998199999332428,0.0050738356076180935,0.9936000108718872,0.030055426061153412
48,0.9981666803359985,0.005573373753577471,0.9940000176429749,0.026974551379680634
49,0.9978833198547363,0.006369574926793575,0.9939000010490417,0.028996264562010765
